Name,Phone,Email,Team Number
Dave Grisar,920-555-0101,dgrisar@example.com,1
Tyler Grisar,920-555-0102,tgrisar@example.com,1
Matt Esselmann,920-555-0103,messelmann@example.com,1
Guy Schultz,920-555-0201,gschultz@example.com,2
Kurt Zirtzlaff,920-555-0202,kzirtzlaff@example.com,2
Josh Hafemeister,920-555-0203,jhafemeister@example.com,2
Dustin Moder,920-555-0301,dmoder@example.com,3
Jacob Lewin,920-555-0302,jlewin@example.com,3
Patrick Fridholm,920-555-0303,pfridholm@example.com,3
Jesse Barron,920-555-0401,jbarron@example.com,4
Tom Dierringer,920-555-0402,tdierringer@example.com,4
Jack Mueller,920-555-0403,jmueller@example.com,4
Mark Speirs,920-555-0501,mspeirs@example.com,5
Brandon Speirs,920-555-0502,bspeirs@example.com,5
Steve Bohn,920-555-0503,sbohn@example.com,5
Dennis Haas,920-555-0601,dhaas@example.com,6
Terri Haas,920-555-0602,thaas@example.com,6
Ben Haas,920-555-0603,bhaas@example.com,6
Matt Streim,920-555-0701,mstreim@example.com,7
Derrick Malcore,920-555-0702,dmalcore@example.com,7
Christian Bilgo,920-555-0703,cbilgo@example.com,7
Tom Harwood,920-555-0801,tharwood@example.com,8
John Knepel Sr.,920-555-0802,jknepelsr@example.com,8
John Knepel Jr.,920-555-0803,jknepeljr@example.com,8
Ryan Krombach,920-555-0901,rkrombach@example.com,9
Andy Harrigan,920-555-0902,aharrigan@example.com,9
Mike Cibulka,920-555-1001,mcibulka@example.com,10
Griff Rice,920-555-1002,grice@example.com,10
Mike Janz,920-555-1003,,
Greg Windel,920-555-1004,,
Todd King,920-555-1101,tking@example.com,
Mitch Henke,920-555-1102,mhenke@example.com,
Steve Kletzien,920-555-1103,skletzien@example.com,
