Name,Phone,Email,Team Number
Dave Grisar,920-555-0101,dgrisar@example.com,1
Tyler Grisar,920-555-0102,,1
Matt Esselmann,,messelmann@example.com,1
Guy Schultz,920-555-0201,gschultz@example.com,2
Kurt Zirtzlaff,,,2
Josh Hafemeister,920-555-0203,,2
Dustin Moder,920-555-0301,,3
Jacob Lewin,,jlewin@example.com,3
Patrick Fridholm,,,3
Jesse Barron,,jbarron@example.com,4
Tom Dierringer,920-555-0402,,4
Jack Mueller,,,4
Mark Speirs,920-555-0501,mspeirs@example.com,5
Brandon Speirs,920-555-0502,,5
Steve Bohn,,sbohn@example.com,5
Dennis Haas,920-555-0601,dhaas@example.com,6
Terri Haas,920-555-0602,,6
Ben Haas,920-555-0603,,6
Matt Streim,920-555-0701,,7
Derrick Malcore,,,7
Christian Bilgo,920-555-0703,,7
Tom Harwood,920-555-0801,,8
John Knepel Sr.,,,8
John Knepel Jr.,920-555-0803,,8
Ryan Krombach,920-555-0901,,9
Andy Harrigan,,,9
Mike Janz,920-555-0903,,9
Mike Cibulka,920-555-1001,,10
Griff Rice,,,10
Greg Windel,920-555-1003,,10
Todd King,920-555-1101,,11
Mitch Henke,,,11
Steve Kletzien,920-555-1103,,11
Dick Buchholz,920-555-1201,,12
Bob Callies,,,12
Ron Spieth,920-555-1301,,13
Kris King,,,13
Curt Hoffart,920-555-1303,,13
David Haltner,920-555-1401,,14
Jason Stoecker,,,14
Randy Ziarek,920-555-1403,,14
Don Bublitz,920-555-1501,,15
Jesse Seltrecht,,,15
Mike Herre,920-555-1503,,15
Mike Newell,920-555-1601,,16
David Papke,,,16
Zyle Newell,920-555-1603,,16
Andy Holtebeck,920-555-1701,,17
Kevin Friede,,,17
Dennis Heusdens,920-555-1703,,17
Eric Schmelling,920-555-1801,,18
Chuck Schmelling,,,18
Ben Schmelling,920-555-1803,,18
Neil Steffans,920-555-1901,,19
Dale Mueller,,,19
Bill Akerett,920-555-1903,,19
Chris Wegner,920-555-2001,,20
Dave Grisar Jr.,,,20
Mike Grisar,920-555-2003,,20
Paul Fischer,920-555-2101,,21
Brian Fischer,,,21
Kyle Drews,920-555-2103,,21
Jim Reinhart,920-555-2201,,22
Scott Reinhart,,,22
Dan Vogt,920-555-2203,,22
Pete Kowalski,920-555-2301,,23
Adam Kowalski,,,23
Tony Becker,920-555-2303,,23
Carl Zimmerman,920-555-2401,,24
Luke Zimmerman,,,24
Ray Novak,920-555-2403,,24
Wayne Brandt,920-555-2501,,25
Derek Brandt,,,25
Rich Keller,920-555-2601,,26
Tim Keller,,,26
Joe Prentice,920-555-2603,,26
Frank Novak,920-555-2701,,27
Ted Novak,,,27
Bill Schuster,920-555-2703,,27
Dan Hartmann,920-555-2801,,28
Jake Hartmann,,,28
Gary Meier,920-555-2803,,28
Larry Vogt,920-555-2901,,29
Kevin Vogt,,,29
Phil Oster,920-555-2903,,29
Roger Drews,920-555-3001,,30
Chad Drews,,,30
Craig Wendt,920-555-3003,,30
Al Meier,920-555-3101,,31
Doug Meier,,,31
Ken Farber,920-555-3103,,31
Hank Schuster,920-555-3201,,32
Tom Schuster,,,32
Marty Gruber,920-555-3203,,32
Jeff Oster,920-555-3301,,33
Ryan Oster,,,33
Dale Kraft,920-555-3303,,33
Gene Kraft,920-555-3401,,34
Brett Kraft,,,34
Leo Bruns,920-555-3403,,34
Vince Farber,920-555-3501,,35
Nick Farber,,,35
Walt Ebert,920-555-3503,,35
Stan Gruber,920-555-3601,,36
Cody Gruber,,,36
Rick Heinz,920-555-3603,,36
Max Wendt,920-555-3701,,37
Troy Wendt,,,37
Glenn Frey,920-555-3703,,37
Roy Ebert,920-555-3801,,38
Shane Ebert,,,38
Art Frey,920-555-3901,,39
Joel Frey,,,39
Russ Pfeiffer,920-555-3903,,39
Bob Reinhart,920-555-4004,,40
Jenny Kraft,920-555-4005,jkraft@example.com,40
Tom Pfeiffer,920-555-4006,,40
Steve Augustin,920-555-4001,saugustin@example.com,
Matt Reindl,920-555-4002,mreindl@example.com,
Lisa Hartmann,,lhartmann@example.com,
Bob Butler,920-555-1203,,
Sam Henrich,920-555-2503,,
Don Lange,920-555-3803,,
